"_id","display_name","id","rkd_uri","viaf_uri","wikidata_uri","viaf_alternate"
"corot, jean-baptiste-camille","Camille Corot",76736,"http://explore.rkd.nl/nl/explore/artists/18465","http://viaf.org/viaf/4940255","http://www.wikidata.org/wiki/Q148475","カミーユ コロー,讓-巴蒂斯·卡米耶·柯洛,Pére Corot,Jean-Baptiste C. Corot,Korō,Camille-Jean-Baptiste Corot,J. B. C. Corot,Camille Corot,Jean Baptiste C. Corot,Camille Jean Baptiste Corot,Ioannes Baptista Camillus Corot,Jean-Baptiste Camille Corot,Žan Batist Kamij Koro,Камиль Коро,Kamill Korot,Jean-Baptiste-Camille Corot,Korō,ژان باپتیست کامی کورو,Жан Батист Камий Коро,Жан Батыст Каміль Каро,ז'אן-בטיסט קאמי קורו,Каміль Коро,J.-B. Camille Corot,ジャン＝バティスト・カミーユ・コロー,Жан Батист Камиль Коро,Kamīyu Korō,Kamilʹ Koro,Kamil' Koro,Kamill Koro,ジャン=バティスト=カミーユ コロー,Jean Baptiste Camille Corot,Ζαν-Μπατίστ Καμίλ Κορό,コロー,Жан Батист Камиј Коро,J. B. Camille Corot,Keluo,Jean-Baptiste Corot,Коро,ജീൻ-ബാപ്റ്റിസ്റ്റ്-കാമിലെ കോറോട്ട്,Ժան Բատիստ Կամիլ Կորո,Koro Kamil,장바티스트 카미유 코로,コロー・カミーユ,Corot,Žans Batists Kamils Koro,Камилл Коро,Corot, Jean-Baptiste-Camille"
"cortona, pietro da","Pietro da Cortona",38396,"http://explore.rkd.nl/nl/explore/artists/18526","http://viaf.org/viaf/95204251","http://www.wikidata.org/wiki/Q333323","Pietro Berettini da Cortona,Pietro D'Cortona,Pietro Barettini,Petrus Berettinus,Pietre Beretin,Berettinus,Pero da Corton-a,Pietro DaCortona,B. Cortona,П'єтро да Кортона,Pietro di Cortona,Berrettini,Pierre,皮得罗·达·科尔托纳,Pietre de Cortone,Pietro Bennettini,da Cortona Pietro,Πιέτρο ντα Κορτόνα,Pietro Berrettini da Cortona,Pietro Da Cortona,Pitro da Cortona,Pierre de Cortone,Pietro de Cartona,Beretinus,Pietro de Cortona,Berretini,Cortona,Pietro da Cortona,ปีเอโตร ดา กอร์โตนา,Pietro Berettino da Cortona,Cortone,Pietro Berrettino da Cortona,Petro da Cortona,Britio Prenetteri,Pietro da Cortona,Pietro della Cortona,Berrettini Corton.,پیترو دا کورتونا,Peter de Corton,Petrus Berrettinus,Berrettino Cortonensi,Pietro Romano Moderno,Pedro de Corttona,Pietro Cortonese,Pietro Barrettone,Pietro Peretini,Pierre de Cortonne,Pietro Berettini,Пьетро да Кортона,Peter de Cortona,Pietro Berretini,Pietro da Cartona,Pietro Beretini da Cortona,Berrettini Corton,Petr. Berrettin. Corton,Pietro Cortona,Piero da Cortona,Berettini,Pietro d'Acorton,Berrettini da Cortona,Prenetteri,Pietro Berettini Da Cortona,Peter di Cortona,Pietro Barrettini,Pietro Barettini da Cortona,Pierre da Cortonne,Pietro da Berettini Cortona,Կորտոնա  դա Պիետրո,פייטרו דה קורטונה,Pedro de Cortona,Pietro Berrettini,Pietro du Cortona,Piet. da Cortona,Pietro Barettone,Pietro A cortone,Pietra della Cortone,Pet. de Cortona,Pietro dae Cortona,ピエトロ・ダ・コルトーナ,P. Berrettini,Pietro de Cortone,Pietro Berretini da Cortona,P. Cortma,Pietro,Petrus Berretinus,Cortona, Pietro da"
"costa, john da","John Da Costa",998,"http://explore.rkd.nl/nl/explore/artists/18596","http://viaf.org/viaf/63762838",,"John Da Costa,John da Costa,Costa, John Da"
"coster, juliaan de","Juliaan De Coster",622,"http://explore.rkd.nl/nl/explore/artists/20555",,,",Coster, Juliaan De,Juliaan De Coster"
"costetti, romeo","Romeo Costetti",538,"http://explore.rkd.nl/nl/explore/artists/18634","http://viaf.org/viaf/42113846",,"Romeo Costetti,Costetti, Romeo"
"cosyn, pieter","Pieter Cosyn",56232,"http://explore.rkd.nl/nl/explore/artists/18644","http://viaf.org/viaf/95709302",,"Pieter Cousyn,Pieter Cosyn,Cosyn, Pieter"
"coter, colijn de","Colijn de Coter",40839,"http://explore.rkd.nl/nl/explore/artists/18655","http://viaf.org/viaf/95821212","http://www.wikidata.org/wiki/Q1108307","Colin Coter,Collin Coter,Colijn de Coter,Colijn de Couter,Colyn de Coter,Colyn De Coter,Colyn Coter,Colin de Coter,Colijn De Coter,Coter, Colijn de"
"cotes, thomas","Thomas Cotes",75709,"http://explore.rkd.nl/nl/explore/artists/259706","http://viaf.org/viaf/48818276",,"T. C.,Thomas Coats,T. Cootes,Thomas Cotesus,Thomas Cotes,Tho Cotes,Thom Cotes,Officina typographica Thom. Cotes,Tho[ma] Cotesius,T. Cotes,T. C,Cotes, Thomas"
"cottet, charles","Charles Cottet",184,"http://explore.rkd.nl/nl/explore/artists/18679","http://viaf.org/viaf/44571365","http://www.wikidata.org/wiki/Q1574250","Шарль Котте,Charles Cottet,Cottet, Charles"
"couché, françois louis","François Louis Couché",76347,,"http://viaf.org/viaf/22413692",,"Louis-François Couché,Louis-François Couché,Louis-François Couché,Couché fils,Couché,François Louis Couché,Couché,François Louis Couché,Couché fils,Louis François Couché,François-Louis Couché,Louis François Couché,Francois Louis Couche,Couché, François Louis"
