_id,aatterm,aaturi
tapijt,tapijten,http://vocab.getty.edu/aat/300185749
tapijten,tapijten,http://vocab.getty.edu/aat/300185749
tekening,tekeningen,http://vocab.getty.edu/aat/300033973
tekeningen,tekeningen,http://vocab.getty.edu/aat/300033973
temperaschilderij,temperaschilderingen,http://vocab.getty.edu/aat/300389785
temperaschildering,temperaschilderingen,http://vocab.getty.edu/aat/300389785
terracotta,terracotta,http://vocab.getty.edu/aat/300010669
tijdschrift,tijdschriften,http://vocab.getty.edu/aat/300076922
tijdschriften,tijdschriften,http://vocab.getty.edu/aat/300076922
tiles,tegels,http://vocab.getty.edu/aat/300410344
tin,tin,http://vocab.getty.edu/aat/300133748
titelpagina,titelpagina's,http://vocab.getty.edu/aat/300055033
toegepaste kunst,toegepaste kunst,http://vocab.getty.edu/aat/300054168
verluchtingen,verluchtingen,http://vocab.getty.edu/aat/300264522
vernis mou,vernis mou,http://vocab.getty.edu/aat/300053251
vetkrijttekening,vetkrijttekeningen,
videokunst (kunstwerk),videokunst,http://vocab.getty.edu/aat/300102067
viltstifttekening,viltstifttekeningen,
wandtapijt,tapisserieën,http://vocab.getty.edu/aat/300205002
wandtapijten,tapisserieën,http://vocab.getty.edu/aat/300205002
wapens,wapens,http://vocab.getty.edu/aat/300036926
was,was,
werk op papier,werken op papier,http://vocab.getty.edu/aat/300189621
witte steen,witte steen,
xylografie,houtsnijwerk,
zandsteen,zandsteen,http://vocab.getty.edu/aat/300011376
zeefdruk (prent),zeefdrukken,http://vocab.getty.edu/aat/300178688
zilver,zilver,http://vocab.getty.edu/aat/300011029
zincografie,zinkografie,http://vocab.getty.edu/aat/300157968
zinkografie,zinkografie,http://vocab.getty.edu/aat/300157968
zwarte steen,zwarte leisteen,http://vocab.getty.edu/aat/300011657
