_id,workPid,dataPid
1883-A,http://mskgent.be/collection/work/id/1883-A,http://mskgent.be/collection/work/data/1883-A
1883-B,http://mskgent.be/collection/work/id/1883-B,http://mskgent.be/collection/work/data/1883-B
1883-C,http://mskgent.be/collection/work/id/1883-C,http://mskgent.be/collection/work/data/1883-C
1883-D,http://mskgent.be/collection/work/id/1883-D,http://mskgent.be/collection/work/data/1883-D
1883-E,http://mskgent.be/collection/work/id/1883-E,http://mskgent.be/collection/work/data/1883-E
1883-F,http://mskgent.be/collection/work/id/1883-F,http://mskgent.be/collection/work/data/1883-F
1883-G,http://mskgent.be/collection/work/id/1883-G,http://mskgent.be/collection/work/data/1883-G
1883-H,http://mskgent.be/collection/work/id/1883-H,http://mskgent.be/collection/work/data/1883-H
1883-I,http://mskgent.be/collection/work/id/1883-I,http://mskgent.be/collection/work/data/1883-I
1883-J,http://mskgent.be/collection/work/id/1883-J,http://mskgent.be/collection/work/data/1883-J
1883-K,http://mskgent.be/collection/work/id/1883-K,http://mskgent.be/collection/work/data/1883-K
1883-L,http://mskgent.be/collection/work/id/1883-L,http://mskgent.be/collection/work/data/1883-L
1883-M,http://mskgent.be/collection/work/id/1883-M,http://mskgent.be/collection/work/data/1883-M
1883-N,http://mskgent.be/collection/work/id/1883-N,http://mskgent.be/collection/work/data/1883-N
1883-O,http://mskgent.be/collection/work/id/1883-O,http://mskgent.be/collection/work/data/1883-O
1883-P,http://mskgent.be/collection/work/id/1883-P,http://mskgent.be/collection/work/data/1883-P
1883-Q,http://mskgent.be/collection/work/id/1883-Q,http://mskgent.be/collection/work/data/1883-Q
1883-R,http://mskgent.be/collection/work/id/1883-R,http://mskgent.be/collection/work/data/1883-R
1884-A,http://mskgent.be/collection/work/id/1884-A,http://mskgent.be/collection/work/data/1884-A
1884-C,http://mskgent.be/collection/work/id/1884-C,http://mskgent.be/collection/work/data/1884-C
1884-D,http://mskgent.be/collection/work/id/1884-D,http://mskgent.be/collection/work/data/1884-D
1885-A,http://mskgent.be/collection/work/id/1885-A,http://mskgent.be/collection/work/data/1885-A
1885-B,http://mskgent.be/collection/work/id/1885-B,http://mskgent.be/collection/work/data/1885-B
1885-C,http://mskgent.be/collection/work/id/1885-C,http://mskgent.be/collection/work/data/1885-C
1885-D,http://mskgent.be/collection/work/id/1885-D,http://mskgent.be/collection/work/data/1885-D
1885-E,http://mskgent.be/collection/work/id/1885-E,http://mskgent.be/collection/work/data/1885-E
1886-A,http://mskgent.be/collection/work/id/1886-A,http://mskgent.be/collection/work/data/1886-A
1886-B,http://mskgent.be/collection/work/id/1886-B,http://mskgent.be/collection/work/data/1886-B
1886-C,http://mskgent.be/collection/work/id/1886-C,http://mskgent.be/collection/work/data/1886-C
1886-D,http://mskgent.be/collection/work/id/1886-D,http://mskgent.be/collection/work/data/1886-D
1886-E,http://mskgent.be/collection/work/id/1886-E,http://mskgent.be/collection/work/data/1886-E
1886-F,http://mskgent.be/collection/work/id/1886-F,http://mskgent.be/collection/work/data/1886-F
1886-G,http://mskgent.be/collection/work/id/1886-G,http://mskgent.be/collection/work/data/1886-G
1886-H,http://mskgent.be/collection/work/id/1886-H,http://mskgent.be/collection/work/data/1886-H
1886-I,http://mskgent.be/collection/work/id/1886-I,http://mskgent.be/collection/work/data/1886-I
1886-J,http://mskgent.be/collection/work/id/1886-J,http://mskgent.be/collection/work/data/1886-J
1887-A,http://mskgent.be/collection/work/id/1887-A,http://mskgent.be/collection/work/data/1887-A
1887-B,http://mskgent.be/collection/work/id/1887-B,http://mskgent.be/collection/work/data/1887-B
1887-C,http://mskgent.be/collection/work/id/1887-C,http://mskgent.be/collection/work/data/1887-C
1887-D,http://mskgent.be/collection/work/id/1887-D,http://mskgent.be/collection/work/data/1887-D
1889-A,http://mskgent.be/collection/work/id/1889-A,http://mskgent.be/collection/work/data/1889-A
1889-B,http://mskgent.be/collection/work/id/1889-B,http://mskgent.be/collection/work/data/1889-B
1889-C,http://mskgent.be/collection/work/id/1889-C,http://mskgent.be/collection/work/data/1889-C
1889-D,http://mskgent.be/collection/work/id/1889-D,http://mskgent.be/collection/work/data/1889-D
1889-E,http://mskgent.be/collection/work/id/1889-E,http://mskgent.be/collection/work/data/1889-E
1889-F,http://mskgent.be/collection/work/id/1889-F,http://mskgent.be/collection/work/data/1889-F
